x,y
231,375
231,376
232,377
232,378
233,378
234,379
234,380
235,380
236,381
237,381
238,382
238,383
239,383
240,384
241,384
242,385
243,385
244,386
244,387
244,388
244,389
244,390
245,390
246,391
246,392
247,392
248,393
249,393
250,394
251,394
252,395
253,395
254,396
255,396
256,396
257,395
258,395
259,394
260,394
261,393
262,393
263,392
264,392
265,391
265,390
265,389
266,389
267,388
268,388
269,387
269,386
269,385
268,385
267,384
266,384
265,383
265,382
264,382
263,381
262,381
261,380
260,380
259,379
259,378
258,378
258,377
257,376
257,375
257,374
256,374
255,373
255,372
255,371
255,370
255,369
255,368
255,367
254,367
253,366
252,366
251,365
250,365
249,364
248,364
248,363
248,362
248,361
247,360
246,360
246,359
246,358
245,357
245,356
244,356
243,355
243,354
243,353
242,353
241,352
241,351
241,350
241,349
241,348
240,348
239,347
238,347
237,346
236,346
235,345
235,344
235,343
235,342
235,341
235,340
235,339
235,338
235,337
235,336
235,335
235,334
235,333
235,332
235,331
235,330
235,329
235,328
235,327
235,326
234,326
234,325
233,324
233,323
233,322
232,322
231,321
231,320
231,319
230,319
229,318
228,318
228,317
228,316
228,315
228,314
228,313
228,312
228,311
228,310
228,309
228,308
228,307
228,306
228,305
228,304
228,303
228,302
228,301
228,300
228,299
228,298
228,297
228,296
228,295
228,294
228,293
228,292
228,291
228,290
228,289
228,288
228,287
228,286
228,285
228,284
228,283
228,282
228,281
227,280
226,280
225,279
225,278
224,278
224,277
224,276
224,275
224,274
224,273
224,272
224,271
224,270
224,269
224,268
224,267
224,266
224,265
224,264
224,263
224,262
224,261
224,260
224,259
224,258
224,257
224,256
224,255
224,254
224,253
224,252
224,251
224,250
224,249
224,248
224,247
224,246
224,245
224,244
224,243
224,242
224,241
224,240
224,239
224,238
224,237
224,236
224,235
224,234
224,233
224,232
224,231
224,230
224,229
224,228
224,227
224,226
224,225
224,224
224,223
224,222
223,221
223,220
222,220
222,219
221,218
220,218
219,217
219,216
219,215
218,215
217,214
217,213
216,213
215,212
215,211
215,210
215,209
215,208
215,207
215,206
215,205
215,204
215,203
215,202
215,201
215,200
215,199
215,198
215,197
215,196
215,195
215,194
215,193
215,192
215,191
215,190
215,189
215,188
215,187
215,186
215,185
215,184
215,183
215,182
215,181
215,180
215,179
215,178
215,177
215,176
215,175
215,174
215,173
215,172
215,171
215,170
215,169
215,168
214,168
213,167
213,166
213,165
213,164
213,163
213,162
212,162
212,161
212,160
212,159
212,158
212,157
212,156
212,155
212,154
212,153
212,152
212,151
213,150
214,150
215,149
216,149
216,148
216,147
217,146
218,146
219,145
219,144
220,144
221,143
221,142
221,141
221,140
221,139
221,138
221,137
221,136
221,135
221,134
222,134
223,133
224,133
224,132
225,131
225,130
226,130
227,129
228,129
229,128
230,128
231,127
232,127
233,127
234,127
235,127
236,128
237,128
238,129
239,129
240,130
241,130
242,131
242,132
242,133
243,133
243,134
244,135
244,136
244,137
245,137
246,138
247,138
248,139
249,139
250,140
251,140
252,141
253,141
254,142
255,142
256,143
257,143
258,144
259,144
260,145
261,145
262,146
263,146
264,147
265,147
266,148
267,148
268,149
269,149
270,150
